Quantifier,Cond.num,item,Rtype,DE,UE,Conditiontype,Condition,Task
All,-,talked to a sculptor,InfTruecontrols2talked to a sculptorAll,-,-,validcontrols,InfTruecontrols2,IJT
All,-,travelled to France,InfTruecontrols2travelled to FranceAll,-,-,validcontrols,InfTruecontrols2,IJT
All,-,prepared a Japanese dish,InfTruecontrols2prepared a Japanese dishAll,-,-,validcontrols,InfTruecontrols2,IJT
All,-,planted a rosedidn't plant a rose,InfFalsecontrols1planted a rosedidn't plant a roseAll,-,-,invalidcontrols,InfFalsecontrols1,IJT
All,-,watched a documentarydidn't watch a documentary,InfFalsecontrols1watched a documentarydidn't watch a documentaryAll,-,-,invalidcontrols,InfFalsecontrols1,IJT
All,-,wrote a noveldidn't write a novel,InfFalsecontrols1wrote a noveldidn't write a novelAll,-,-,invalidcontrols,InfFalsecontrols1,IJT
All,-,talked to a sculptordidn't talk to a sculptor,InfFalsecontrols1talked to a sculptordidn't talk to a sculptorAll,-,-,invalidcontrols,InfFalsecontrols1,IJT
All,-,travelled to Francedidn't travel to France,InfFalsecontrols1travelled to Francedidn't travel to FranceAll,-,-,invalidcontrols,InfFalsecontrols1,IJT
All,-,prepared a Japanese dishdidn't prepare a Japanese dish,InfFalsecontrols1prepared a Japanese dishdidn't prepare a Japanese dishAll,-,-,invalidcontrols,InfFalsecontrols1,IJT
All,-,planted a rosedidn't plant a rose,InfFalsecontrols2planted a rosedidn't plant a roseAll,-,-,invalidcontrols,InfFalsecontrols2,IJT
All,-,watched a documentarydidn't watch a documentary,InfFalsecontrols2watched a documentarydidn't watch a documentaryAll,-,-,invalidcontrols,InfFalsecontrols2,IJT
All,-,wrote a noveldidn't write a novel,InfFalsecontrols2wrote a noveldidn't write a novelAll,-,-,invalidcontrols,InfFalsecontrols2,IJT
All,-,talked to a sculptordidn't talk to a sculptor,InfFalsecontrols2talked to a sculptordidn't talk to a sculptorAll,-,-,invalidcontrols,InfFalsecontrols2,IJT
All,-,travelled to Francedidn't travel to France,InfFalsecontrols2travelled to Francedidn't travel to FranceAll,-,-,invalidcontrols,InfFalsecontrols2,IJT
All,-,prepared a Japanese dishdidn't prepare a Japanese dish,InfFalsecontrols2prepared a Japanese dishdidn't prepare a Japanese dishAll,-,-,invalidcontrols,InfFalsecontrols2,IJT
